user_id,age,education,income10k,asset10k,debt10k,children,exp_years,risk_label,action_mean,action_std,avg_mkt_ret,q_sentiment
672,48,本科,22.030501084000683,135.29665161779775,49.81739244450904,2,7,1,0.1375,0.641854335069647,0.0005342589151154751,0
951,33,高中及以下,6.221766417874037,42.84660479945616,18.365210965734697,2,3,0,-0.16666666666666666,0.6315728302329228,0.00034093561345093323,-1
1483,25,大专,20.17999241381697,141.4850505685986,29.61602016575681,0,8,1,0.23333333333333334,0.6498578323229783,0.0005785224331242638,-1
721,61,大专,17.116455331259854,94.47634511490357,40.213736706676414,1,1,0,-0.175,0.6553608990089285,0.0001714854974801408,0
1405,26,大专,14.145197857526458,103.7048476339495,30.75722864063968,1,7,1,0.2833333333333333,0.6093186170854438,0.00043438427755638267,1
154,39,本科,13.47317393659084,83.30298568192688,37.42154435831841,1,6,0,-0.2125,0.6664792274853403,-0.00043780010039569747,1
463,38,大专,9.480603552095626,63.445347835496754,25.28274735099981,1,2,0,-0.15416666666666667,0.6445647661766611,0.00041848103243811237,0
465,63,本科,8.708786689437323,34.51522291255232,24.16065603878662,1,8,0,-0.10416666666666667,0.6796375890433998,0.0002808671266699586,1
1242,63,大专,11.44561455835426,72.33786158426419,26.625691646073427,1,8,0,-0.1125,0.6658511399598068,-0.00031260305987823876,0
1509,50,本科,17.814196075330585,143.28695345863454,51.36562592440256,2,7,0,-0.1,0.6324555320336758,0.0006078464407206353,-1
1594,51,大专,14.94355481705609,95.3027594156464,41.63924191950308,1,9,0,-0.10416666666666667,0.6857663255639964,-0.00039789818586024716,1
595,56,本科,10.298228120757948,68.67243240751822,32.08391234675868,1,5,0,-0.17083333333333334,0.6784051977051482,0.0008903536936176378,1
110,32,高中及以下,7.538764556173069,10.570259455805086,7.39918161906356,1,0,0,-0.1375,0.7040305361388093,-8.84195419952082e-05,0
1223,49,高中及以下,11.80598942026998,34.11694396431865,23.881860775023053,1,8,0,-0.12916666666666668,0.6753143800149313,0.0003842234896394069,0
460,52,本科,12.764541396167727,76.92347747167005,34.66457748931665,1,1,0,-0.1375,0.6736601454975643,0.0013363249509007677,-1
1116,64,大专,14.305074277071029,83.45595806068027,34.07668139360965,3,4,0,-0.20416666666666666,0.6033235472364147,-0.0005059516655858272,0
249,21,硕士及以上,24.439729169085183,219.0528487250604,53.131447849304784,0,6,1,0.30833333333333335,0.6108617047378255,0.00038168261843805776,1
586,51,大专,17.28409263360069,88.8917891038737,30.328553577824888,0,7,0,-0.16666666666666666,0.5975309495786169,0.00012326627141069648,-1
1818,26,大专,15.251616465952315,89.35011715739692,20.722096504185235,0,5,0,-0.19166666666666668,0.657061205804256,0.0008758093046475108,0
1793,32,硕士及以上,26.39232107673036,254.1832014288134,83.15075884440047,1,5,1,0.25833333333333336,0.6067380833713261,-0.0005472463586787896,0
82,27,硕士及以上,25.16643487344925,220.2093040109442,48.93971500632148,0,0,1,0.31666666666666665,0.5855060155811633,0.000835367067665562,-1
1246,58,大专,10.071614858662484,44.15526960012626,18.741883627884437,3,6,0,-0.13333333333333333,0.6524281436037599,-0.00027033228638709516,0
1568,60,本科,23.42804701487029,185.73033947535487,64.27096587332265,1,9,1,0.25,0.6102335104191623,-0.00014953509464882885,0
350,43,本科,24.52256848557776,185.28190053805417,56.35542897538796,2,1,0,-0.09166666666666666,0.6783666493999622,0.0002692372937817371,0
100,57,高中及以下,11.785643381356603,58.13739626672097,18.742626876455592,1,9,0,-0.10833333333333334,0.6108617047378254,-0.00021066039651072786,-1
