user_id,age,education,income10k,asset10k,debt10k,children,exp_years,risk_label
0,24,大专,10.443414368473434,64.48289184246424,22.66787296506638,0,4,0
1,54,大专,25.8003732455565,158.64636398188006,60.584751579051385,1,9,1
2,49,硕士及以上,22.153019665202642,221.12344319867285,45.63830921068748,0,9,1
3,39,高中及以下,12.532719694652357,51.452670108968036,18.645873507922218,1,9,0
4,39,高中及以下,3.0,11.16308258071152,3.0552697789029195,0,9,0
5,58,大专,15.452999308108687,124.32121077943796,22.150759773900422,0,1,0
6,23,高中及以下,13.352351252198083,53.484788826528714,17.90439930783231,0,2,0
7,51,本科,12.40074424600509,95.05269294505149,41.83553559857855,2,0,0
8,29,大专,10.721342142076551,46.10971793296205,20.09460940453355,1,5,0
9,24,本科,13.304489149617872,96.95440503790792,31.30367067048691,0,2,0
10,43,本科,20.46115250435807,141.61609038199134,45.288851564042844,0,9,1
11,63,大专,15.407758616668566,101.77454367959895,28.47801504316083,0,1,0
12,53,本科,21.959315649049508,150.99411921515315,38.959391084481425,0,6,1
13,54,高中及以下,9.180622469400369,56.052951828000985,10.568895194827507,0,8,0
14,52,本科,10.299769475355376,79.10306680469297,27.102924189214125,1,8,0
15,55,本科,12.406621458352014,117.05799154975503,19.1151867445779,0,2,0
16,43,大专,7.163013853089441,30.635869767027394,15.667641219846525,1,0,0
17,25,高中及以下,5.653560403119859,11.089786457972181,0.0,0,1,0
18,57,本科,15.027253316021028,103.65879631526576,46.22850686143523,2,9,0
19,40,本科,15.608796800188633,117.99110199954704,38.141757736361846,2,8,0
20,42,本科,17.202128617066375,132.2962997487741,38.52298151148288,1,5,0
21,36,大专,4.592089932382681,19.273046428775103,6.335903691081997,2,9,0
22,28,高中及以下,14.01547702649512,97.04123054799607,11.855584587793603,0,3,0
23,61,硕士及以上,29.349437568111348,263.4148944653421,91.87001231179492,1,6,1
24,55,高中及以下,8.043362244826307,17.26179747751838,12.083258234262864,3,9,0
25,48,硕士及以上,25.188533203654433,229.55380822441856,72.58497849070386,1,0,0
26,38,本科,15.329533574204676,106.91665020365662,33.31038647958177,1,6,0
27,57,本科,16.100934325641084,109.15517124616522,37.648622497104355,3,8,0
28,44,大专,16.163629477049493,100.29022017852995,36.03241307144346,2,9,0
29,39,本科,17.14910794298891,124.32299087116047,38.99163897657122,2,7,0
30,40,硕士及以上,29.347731367326556,251.7432901465105,94.44876895315457,2,9,1
31,30,本科,18.344344459775886,113.91333714870223,47.69764522337032,1,2,0
32,24,本科,14.939964618311047,90.42999713113551,25.49127221069368,0,6,1
33,44,大专,5.892020614959636,66.44878435415798,19.284900812648353,1,8,0
34,59,高中及以下,16.816011904686896,80.74364835160777,28.73494395788839,0,8,0
35,22,硕士及以上,31.03210942921895,296.68453987431167,63.09204389349502,0,5,1
36,58,高中及以下,16.37596158125264,99.66277575964622,34.89284736749345,3,1,0
37,57,大专,11.456244966985848,63.13243774493768,28.97372018698499,2,9,0
38,32,大专,15.646013405612507,101.64655260800959,38.905904630581624,2,2,0
39,48,本科,14.905380099915208,113.94212598675095,39.0089536955471,2,2,0
40,27,本科,21.26127741875049,136.36084373347128,54.98955624682602,1,6,1
41,54,本科,25.829662535322022,169.36648090087422,69.22189381371838,1,9,1
42,51,高中及以下,17.57110833086052,97.56223569836105,20.382469357021076,0,6,0
43,35,大专,14.169074783617317,84.87414497698587,35.996909665159414,2,8,0
44,23,高中及以下,13.672736092173661,35.4693110759558,24.439059393977345,0,0,0
45,63,硕士及以上,30.57652342462955,265.7734477760143,70.34812945449227,0,4,1
46,40,高中及以下,10.685430968855774,41.06916645584664,12.571301309674663,1,5,0
47,60,硕士及以上,30.14293227925072,265.622259609695,73.12671649694857,0,7,1
48,50,高中及以下,6.134639303832261,8.444671734980037,5.911270214486025,0,0,0
49,55,本科,10.308585344413288,73.52990719169308,30.89038232554279,1,5,0
50,54,本科,20.155721750370986,145.13735960271876,42.41570209695939,0,4,1
51,28,本科,12.514582272454064,85.60323469177337,26.395499227987354,0,3,0
52,36,本科,13.75889742319084,89.95015825208199,29.479674329428615,0,6,0
53,41,本科,15.79272853503646,100.28584156268514,37.93645262931314,2,4,0
54,42,本科,25.517673384343766,183.36656244038267,62.4939658070734,1,5,1
55,21,大专,13.659935664178638,59.659903505612604,17.627234492411926,0,2,0
56,44,硕士及以上,23.58709388321752,240.03396565790524,74.1206979196054,2,3,0
57,26,本科,11.832165560219716,99.84361920383492,26.25103308144392,0,3,0
58,53,大专,13.109372088975785,42.91170326475549,26.472306645448636,3,0,0
59,50,大专,12.919301692982327,100.41631572144419,20.421984138335283,2,8,0
60,61,本科,12.157059113710176,89.98536285294202,36.45148842570706,1,2,0
61,53,本科,18.66613687212964,134.85975406583134,47.530054655090545,1,3,0
62,36,本科,9.778336465363175,62.72599413956996,20.733861399724496,1,6,0
63,63,大专,8.610212877748586,61.736787099099416,20.94148089643046,1,8,0
64,38,本科,24.80958408740047,167.018640446703,70.33670616574227,1,7,1
65,34,高中及以下,4.1484597882435,9.45155691776624,6.616089842436367,2,5,0
66,60,大专,13.319319052709082,73.11669181417243,32.437103542937834,1,5,0
67,36,本科,19.911599837978418,132.1182432736373,46.2351716933658,2,6,0
68,23,高中及以下,19.08587045768776,94.76089114281226,30.993606965792516,0,4,0
