user_id,age,education,income10k,asset10k,debt10k,children,exp_years,risk_label
0,24,高中及以下,15.281927930154415,84.45416113389618,10.690830854751905,0,9,0
1,54,大专,10.223902902914897,55.55583579831506,12.075696988373668,0,9,0
2,49,高中及以下,3.0,5.0,3.5,2,5,0
3,39,高中及以下,3.0,18.851756722707854,13.196229705895497,2,5,0
4,39,本科,25.108134890411044,150.6910579603005,47.7485425628647,0,7,1
5,58,大专,11.99372530340088,82.45745095069823,23.433924137207182,3,6,0
6,23,硕士及以上,24.24637690867444,203.91382995765954,54.53723550115312,0,0,1
7,51,大专,22.213301467181168,138.83893043545132,51.6802287113073,1,5,1
8,29,本科,24.325799727441634,162.45629303171907,37.30945423620882,0,7,1
9,24,大专,14.122243609598934,80.76718096672306,20.01553876764425,0,8,0
10,43,本科,16.53298454468013,104.37724372128493,49.41624088390898,1,5,0
11,63,本科,17.339493935934374,118.9580160838286,39.073856659670525,1,8,0
12,53,大专,15.13581399193733,119.1555771418843,29.856382565793158,2,5,0
13,54,硕士及以上,36.00023640659804,344.778022065112,82.68651083304971,0,3,1
14,52,大专,16.112337121186133,101.99120705204865,37.18509970655676,3,4,0
15,55,高中及以下,13.630145165195707,67.77131184250425,22.431501953744586,1,6,0
16,43,本科,23.84635054535086,179.5874716778493,61.31224755963123,1,8,1
17,25,本科,12.151619994877905,102.01089587575868,25.58095275919571,0,2,1
18,57,高中及以下,13.774309462370216,56.424271578738136,35.63408936076239,1,2,0
19,40,大专,12.527156226691943,74.00135434566863,27.17906492608221,1,6,0
20,42,本科,5.419524021136169,10.607294704431979,7.425106293102385,1,7,0
21,36,本科,7.35915229007094,68.36059768441001,26.439895831028807,2,3,0
22,28,硕士及以上,22.90941194240657,237.16007134717196,70.44974186449852,1,6,1
23,61,本科,20.656116142962908,145.79405237008666,46.154611581459335,2,0,0
24,55,本科,18.568997826701484,98.10783291336513,35.696735846826066,0,2,0
25,48,大专,14.92183353587832,98.6643589639254,38.507345575089445,1,9,0
26,38,硕士及以上,37.75471741343346,326.23111922866497,122.43155781191835,1,5,1
27,57,大专,7.654551925700939,35.97706992923873,11.915295831899291,0,8,0
28,44,本科,17.86283322908138,134.43847845043473,38.39757203462874,2,2,0
29,39,大专,15.522177614069077,96.95137756710533,34.167388076891484,1,2,0
30,40,本科,14.318634417308322,92.90880929107924,42.749885567804455,1,9,0
31,30,本科,18.141633725414703,117.24735158887795,40.18128876073846,1,9,0
32,24,本科,10.000253329578275,71.88931413536042,17.326734057351345,0,8,1
33,44,硕士及以上,35.04953108637514,309.3037964896908,110.04582816017678,1,3,0
34,59,大专,10.591927237347832,46.91300642004188,20.025555613723462,1,8,0
35,22,本科,28.157000823892517,192.1105580450722,53.47085155091565,0,4,1
36,58,大专,13.837628380412724,88.1196596313041,24.63348418254865,0,8,0
37,57,大专,19.140267826995917,112.170054959681,33.17136840370057,0,8,0
38,32,大专,13.733485655044229,61.198284956542594,25.604289336122562,2,4,0
39,48,高中及以下,9.846280838697352,64.06737351411985,5.308717681540443,0,3,0
40,27,高中及以下,7.079853333889961,5.0,3.5,0,9,0
41,54,本科,18.595619646831388,123.4738602023932,44.982212990240946,1,4,0
42,51,本科,19.589993472070237,127.82697748618293,59.24399521957339,1,4,0
43,35,本科,14.078707455424102,100.77363535603993,45.393646028683314,2,6,0
44,23,高中及以下,9.374777920700579,55.298816720543925,22.843768612943492,0,9,0
45,63,大专,10.949505669714432,82.59850614220211,19.60734808159247,3,1,0
46,40,高中及以下,21.498320348074195,96.80552864008858,43.15619608634959,2,9,0
47,60,本科,17.55134615044191,131.6581581130956,36.91250969532717,0,4,1
48,50,本科,25.7261607584828,183.0204011276015,51.51379937470761,0,0,1
